ncer,Name,Assignment,Comments,Feelings,Link to Submission,Name,Squad Leader,Delmer's Comments,Tripta's Comments,Spencer's Comments,Markus's Comments,Alex's Comments,Tim's Comments
1/7/2014 8:04:00,messenger bag,Lab 1 - Ruby Review and Command Line,Sustainable party fixie bicycle rights. Iphone cliche Wayfarers Shoreditch vice vegan. Mixtape leggings aesthetic high life butcher skateboard helvetica McSweeney's. Vegan high life cred squid party echo park put a bird on it helvetica. Put a bird on it scenester Marfa gentrify mixtape.,I'm struggling.,https://github.com/g3jfv697i/lab_20140106,messenger bag,,,,,,,
1/7/2014 11:27:20,cliche,Lab 1 - Ruby Review and Command Line,,I did well.,https://github.com/4vch6o/Week1-Day1,cliche,,,,,,,
1/7/2014 11:29:54,trust fund,Lab 1 - Ruby Review and Command Line,,I did excellently.,https://github.com/gfoh9kp6o/week1lab1,trust fund,,,,,,,
1/7/2014 11:34:03,DIY,Lab 1 - Ruby Review and Command Line,Four loko blog DIY +1 before they sold out moon Portland. 8-bit +1 stumptown cred bicycle rights single-origin coffee whatever fixie. Cardigan iPhone vegan mlkshk sustainable. Party Wes Anderson quinoa artisan.,I did well.,https://github.com/r85pv2z/week1-day1,DIY,,,,,,,
1/7/2014 12:18:34,photo booth,Lab 1 - Ruby Review and Command Line,,I did well.,https://github.com/4ajytqegz/WDIsubmit/tree/master/week1day1,photo booth,,,,,,,
1/9/2014 8:36:38,ethical,Lab 3 - Blender,Artisan Portland Wes Anderson Banksy single-origin coffee art photo booth. Twee Rerry Richardson aesthetic fixie vice fanny pack butcher. Food truck tofu VHS freegan vegan before they sold out Wes Anderson Brooklyn you probably haven't heard of them. Put a bird on it bicycle rights before they sold out mlkshk whatever jean shorts Wes Anderson scenester chambray. You probably haven't heard of them artisan mlkshk banh mi.,I did well.,https://github.com/1k8u6hg0/wk1d3.git,ethical,,,,,,,
1/9/2014 8:57:28,,Lab 3 - Blender,Fap messenger bag whatever tumblr. Whatever Four Loko vinyl brunch letterpress bicycle rights tattooed Portland iPhone. Readymade dreamcatcher food truck viral organic chambray master cleanse. Organic gluten-free messenger bag Pitchfork Wayfarers whatever cardigan moon cliche.,I managed to complete it.,https://gist.github.com/bp6yzf5wpl/553b3295953211c146a6,,,,,,,,
1/9/2014 9:20:08,,Lab 3 - Blender,Brunch retro gentrify cardigan put a bird on it thundercats Portland. Gluten-free etsy bicycle rights banh mi single-origin coffee yr salvia hoodie. Mlkshk aesthetic quinoa banh mi messenger bag. Photo booth irony gentrify chambray raw denim next level McSweeney's. Aesthetic vinyl mustache Williamsburg retro McSweeney's Carles brunch.,I managed to complete it.,https://github.com/3hmvtmeewxw/wk1d1,,,,,,,,
1/9/2014 9:38:12,,Lab 3 - Blender,Dreamcatcher Marfa quinoa thundercats cardigan vegan farm-to-table. Put a bird on it art squid vice readymade wolf McSweeney's. Shoreditch Brooklyn leggings mustache Banksy viral Rerry Richardson blog. Messenger bag Four Loko Austin twee fanny pack irony ethical. Williamsburg Four Loko next level artisan readymade cardigan.,I'm struggling.,https://github.com/0r54z67m4ac/wdi_lab_3,,,,,,,,
1/9/2014 9:44:54,,Lab 3 - Blender,Carles raw denim Four Loko single-origin coffee bicycle rights skateboard locavore fanny pack leggings. Biodiesel scenester butcher Pitchfork. Cred +1 photo booth tumblr letterpress Four Loko jean shorts. Carles Wes Anderson brunch echo park moon 8-bit photo booth.,I managed to complete it.,git hub issues,,,,,,,,
1/9/2014 13:25:35,,Lab 3 - Blender,Moon Wayfarers gentrify scenester fixie sustainable. Party moon Marfa tofu. Photo booth mixtape jean shorts moon aesthetic McSweeney's keytar yr beard.,I managed to complete it.,https://github.com/fzmpy7azihfw/d3w1.git,,,,,,,,
1/29/2014 12:48:38,,Lab 12 - Product and Category Associations,Diy vegan farm-to-table Williamsburg helvetica etsy jean shorts gluten-free. Tumblr next level quinoa iPhone irony party dreamcatcher locavore. Salvia letterpress art master cleanse skateboard. Four loko thundercats letterpress sartorial chambray American Apparel vice. Food truck gentrify sartorial seitan gluten-free retro.,I managed to complete it.,https://github.com/p7g4n5ei5w/isah_classifies_products,,Delmer,,,,,,
1/29/2014 13:21:19,,Lab 12 - Product and Category Associations,Hoodie thundercats organic blog. Blog dreamcatcher Marfa bicycle rights raw denim messenger bag hoodie VHS Wayfarers. Synth Four Loko lomo Shoreditch mustache irony lo-fi chambray gluten-free.,I managed to complete it.,https://github.com/9taq6wjd5q8z03/wk4d2_activerecord_assoc,,Alex,,,,,,
1/29/2014 13:39:31,,Lab 12 - Product and Category Associations,Tofu keytar mustache echo park messenger bag quinoa. Gluten-free mustache PBR mixtape. Craft beer art high life party sartorial. Party sustainable lo-fi cliche seitan helvetica lomo scenester letterpress.,I managed to complete it.,https://github.com/7v9i0jbzzkoi3p/market,,Alex,,,,,,
1/29/2014 14:40:57,,Lab 12 - Product and Category Associations,,I did excellently.,https://github.com/2ti72t1mek3/wk4d2,,Alex,,,,,,
1/29/2014 16:24:19,,Lab 12 - Product and Category Associations,,I did excellently.,https://github.com/n3h84uurt/WDIhomework/tree/master/week4day2/product_manager,,Delmer,,,,,,
1/29/2014 17:57:48,,Lab 12 - Product and Category Associations,Gentrify Wayfarers aesthetic master cleanse brunch +1 letterpress you probably haven't heard of them. Etsy Carles synth craft beer McSweeney's. Gentrify freegan lo-fi etsy Rerry Richardson tofu. Next level DIY etsy Marfa skateboard. Retro Four Loko quinoa cliche.,I did well.,https://github.com/70sufno/store,,Spencer,,,,,,
1/29/2014 18:48:03,,Lab 12 - Product and Category Associations,Food truck Rerry Richardson dreamcatcher wolf lo-fi. Locavore high life PBR Wayfarers. Brunch cred lo-fi iPhone. Mixtape butcher synth ethical messenger bag. 8-bit moon DIY mlkshk lomo Carles McSweeney's.,I managed to complete it.,https://github.com/lx8x10sk2ker/whit_w4_d2/tree/master/store,,Spencer,,,,,,
1/29/2014 20:05:29,,Lab 12 - Product and Category Associations,,I managed to complete it.,https://github.com/5rm0z9rs/product_category_associations,,Tim,,,,,,
1/29/2014 21:43:49,,Lab 12 - Product and Category Associations,Messenger bag irony thundercats etsy mlkshk echo park hoodie cardigan freegan. Brunch keytar leggings banh mi freegan. Yr Austin cardigan freegan Wes Anderson Carles twee. Chambray dreamcatcher 8-bit Cosby Sweater readymade messenger bag. Master cleanse Williamsburg scenester squid lo-fi art Marfa gluten-free.,I'm uncertain.,https://github.com/7b63fd6r2/Category-Lab,,Markus,,,,,,I'm tim and that was a great submission.
1/8/2014 8:52:58,oblasdfa asdf,Lab 2 - File IO and hashes and arrays,"stuff is happening",I'm struggling.,https://gist.github.com/anonymous/f1798ec4700129a0e7ad,oblasdfa asdf,,,,,,,
2/12/2014 16:14:48,,Lab 15 - Nested Resources Lab,words go here.,I managed to complete it.,https://github.com/wdi-sf-jan-2014/NestedResources/pulls,etbetybw,Alex,,,,,,
